S.No.,Zone,Ward,T.P.S. NO.,NAME OF T.P.SCHEME,CURRENT STATUS,F.P. NO.,F.P AREA IN ACRE,F.P AREA IN SQYARD,PURPOSE,AREA IN SQ MT,ADDRESS,Possession received or not (Whole/Part/No),"Possession Area
( m²)",Name of Allotee Dept. ,Use,Details of encroachment to be removed for taking possession,If AMC's name has been entered in Revenue Record Entry No.,Date,"Site Situation
comp.wall/fencing (yes / no)",Is Board showing Muni. Ownership installed ? (Yes/No),"Details of Court Litigation, if any","Remarks, if any",Site Condition
1,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,585+586+587+588+589,,,SOCIAL INFRASTRUCTURE (SPORTS COMPLEX),82676,"NR. VARDAN TOWER, BESIDES RAILWAY LINE",W,82676,ENGINEERING ,Sports Complex,,Yes,-,Yes,Yes,,Naranpura International Sports Complex,
2,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,590,,,SOCIAL INFRASTRUCTURE ,5526,"NR. FELICIA-1, OPP. PRATISTHA 72, NARANPURA",W,5526,ENGINEERING ,WATER DISTRIBUTION STATION,-,YES,-,YES,YES,,WATER DISTRIBUTION STATION DEVELOPED,
3,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,591,,,URBAN FOREST,2280,"OPP. ARJUN ICONIC, NR. RANNA PARK , NARANPURA",,,,,,,,,,,,
4,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,592,,,OPEN SPACE FOR COMMERCIAL USE,2232,"OLD SAURABH SCHOOL, BESIDES ARJUN ICONIC, RANNA PARK, NARANPURA",,,,,,,,,,,,
5,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,593/1,,,SEWSH,3054,"NR. ARJUN GRACE, RANNA PARK, NARANPURA",W,3054,ESTATE,OPEN,,-,-,OPEN,OPEN,,OPEN,-
6,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,593/2,,,SEWSH,1310,"NR. RUDRAM SKYLINE, OPP. ARJUN ICONIC, RANNA PARK, NARANPURA ",,,,,,,,,,,,
7,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,594,,,GARDEN,4430,"OPP. CELESTIA, SATYA-2 LANE,RANNA PARK, NARANPURA",W,4430,ESTATE,OPEN,,YES,-,-,-,,ON RENT,
8,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,595,,,SOCIAL INFRASTRUCTURE,4949,"OPP. ARYAMAAN RESIDENCY, NR. ARJUN GRACE, NARANPURA",W,4949,ENGINEERING ,PARTY PLOT,,YES,-,-,-,,ALLOTED TO MAKE PARTY PLOT,
9,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,596,,,SELL FOR RESIDENTIAL,9135,"OPP. BRTS CHARGING STATION, NARANPURA",,,,,,,,,,,,
10,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,597,,,SOCIAL INFRASTRUCTURE,17689,"BRTS CHARGING STATION, NR. ARYAMAAN RESIDENCY, NARANPURA",W,17689,ENGINEERING ,BRTS CHARGING STATION,-,YES,-,YES,,-,BRTS CHARGING STATION,
11,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,598+600,,,SELL FOR COMMERCIAL,2475,"NR. TATVAGYAN VIDYAPITH, NR. GHATLODIYA POLICE STATION, NARANPURA",W,2475,ESTATE,OPEN,,Yes,-,YES,,,OPEN,
12,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,599,,,SEWSH,10470,"OPP. BRTS CHARGING STATION, NARANPURA",W,10470,ESTATE,OPEN,,-,-,,,,,
13,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,601,,,SELL FOR RESIDENTIAL,4025,"NR. ASTHA SKYRISE, SOLARIS BUISNESS HUB LANE, NARANPURA",W,4025,ESTATE,OPEN,-,Yes,-,YES,,,OPEN,
14,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,602,,,SELL FOR RESIDENTIAL,5476,"NR. UTSAV AALAYAM, OPP. ASTHA SKYRISE, SOLARIS BUISNESS HUB LANE, NARANPURA",W,5476,ESTATE,OPEN,,Yes,-,YES,,,OPEN,
15,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,603,,,SOCIAL INFRASTRUCTURE (PARKING),1140,"OPP. ELITE MAGNUM, B/H SARVOPARI MALL, NARANPURA ",W,1140,ESTATE,OPEN,,Yes,-,Yes,,,ON RENT,
16,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,604/1,,,SELL FOR COMMERCIAL,2284,"NR. COPPERLEAF COMPLEX, SOLA ROAD, NARANPURA",,,,,,,,,,,,
17,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,604/2,,,GARDEN,3790,"NEAR NATIONAL SCHOOL, SOLA ROAD, NARANPURA",,,,,,,,,,,,
18,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,605,,,SELL FOR RESIDENTIAL,6551,"NR. TEJENDRAPRASAD JI BUNGLOW, OPP. B D RAO HALL,  NARANPURA",W,655,ESTATE,OPEN,,YES,-,YES,,,PART ON RENT ,
19,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,606,,,OPEN SPACE FOR COMMERCIAL USE,366,"OPEN SPACE, OPP. APURVA BUNGLOW, NARANPURA",,,,,,,,,,,,
20,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,607,,,URBAN FOREST,1660,"B/H TEJENDRAPRASAD JI BUNGLOW, APURVA BUNGLOW LANE, NARANPURA ",W,1660,ESTATE,OPEN,,YES,-,YES,,,,
21,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,608,,,OPEN SPACE FOR COMMERCIAL USE,286,"OPEN SPACE, NEAR TEJENDRAPRASAD JI BUNGLOW, NARANPURA ",,,,,,,,,,,,
22,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,609,,,SELL FOR RESIDENTIAL,5321,"B/H CENTRUIM HEIGHTS, NR. APURVA BUNGLOW LANE, NARANPURA ",,,,,,,,,,,,
23,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,610/1,,,GARDEN,6818,"ELITE 32 LANE, B/H SIGMA SPECTRUM, NR. VIVEKANAND CIRCLE, NARANPURA",W,6818,,,,,,,,,,
24,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,610/2,,,SELL FOR RESIDENTIAL,1764,"ELITE 32 LANE, B/H SIGMA SPECTRUM, NR. VIVEKANAND CIRCLE, NARANPURA",W,1764,,,,,,,,,,
25,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,611,,,SOCIAL INFRASTRUCTURE,690,"OPP. JAIN MANDIR, NR. CHITRAKUT APPT, NARANPURA",,,,,,,,,,,,
26,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,612,,,SOCIAL INFRASTRUCTURE (PARKING),4387,"NR. DIVYAPATH SCHOOL, NAVNEETBHAI PATEL ROAD, NARANPURA",W,4387,,,-,,,,,,,
27,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,613,,,GARDEN,1804,"NR. CHITRAKUT APPARTMENT, NARANPURA",,,,,,,,,,,,
28,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,614,,,SELL FOR RESIDENTIAL,2488,"OPP. S.P GIRLS HOSTEL, NAVNEETBHAI PATEL ROAD, NARANPURA",,,,,,,,,,,,
29,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,615,,,SEWSH,2518,"B/H JAIN DERASAR, NR. CHITRAKUT APPARTMENT, NARANPURA",,,,,,,,,,,,
30,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,616,,,SEWSH,2505,"B/H ARJUN ELEGANCE, NAVNEETBHAI PATEL ROAD, NARANPURA",,,,,,,,,,,,
31,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,617,,,SELL FOR COMMERCIAL,1945,"BESIDES ARJUN ELEGANCE, NAVNEETBHAI PATEL ROAD, NARANPURA",YES,-,ESTATE,OPEN,,-,-,-,-,,-,-
32,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,619,,,SOCIAL INFRASTRUCTURE (PARKING),563,"OPP. CHAMUNDANAGAR VASAHAT, NAVNEETBHAI PATEL ROAD, NARANPURA",,,,,,,,,,,,
33,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,620,,,SELL FOR COMMERCIAL,4800,"NR. MUNICIPAL ANGANWADI,. 132 RING ROAD, NARANPURA",,,,,,,,,,,,
34,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,621,,,SOCIAL INFRASTRUCTURE,1376,"MUNICIPAL ANGANWADI, 132 FEET RING ROAD, NARANPURA ",,,,,,,,,,,,
35,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,622,,,SELL FOR COMMERCIAL,3557,"OPP. SURYA ICON, 132 FT RING ROAD, NARANPURA",W,3557,,,-,,,,,,,
36,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,625,,,SELL FOR COMMERCIAL,343,"NR. GOPALNAGAR, 132 RING ROAD, NARANPURA",,,,,,,,,,,,
37,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,626,,,SOCIAL INFRASTRUCTURE,592,"NR. GOPALNAGAR, NARANPURA",,,,,,,,,,,,
38,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,627,,,SELL FOR COMMERCIAL,4194,"NR. GOPALNAGAR, 132 RING ROAD, NARANPURA",,,,,,,,,,,,
39,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,629,,,SOCIAL INFRASTRUCTURE (PARKING),1397,"NR. GOPALNAGAR, 132 RING ROAD, NARANPURA",,,,,,,,,,,,
40,West,Naranpura,29,(Naranpura)(2nd Varied),PRELIMANARY,610/3,,,SOCIAL INFRASTRUCTURE (PARKING),3186,"ELITE 32 LANE, B/H SIGMA SPECTRUM, NR. VIVEKANAND CIRCLE, NARANPURA",W,3186,,,,,,,,,,
